[SPECTANO CSV]
Version           ;Decimal                 ;Field separator
1.2               ;,                       ;";"

[GENERAL SETTINGS]
Tester name       ;Comment                 ;Test cell type
André             ;                        ;Disk electrodes

[MEASUREMENTS]
ID                ;Name                    ;Temperature [°C]          ;Humidity [%]       ;Material type                    ;Serial number                ;PDC output voltage (DC) [V]     ;FDS output voltage (AC) [V];c0                  ;Sample thickness [m];Measurement started
1                 ;Reference 1             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;3,40498927273472E-10;5,26E-05            ;
2                 ;Reference 2             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;                    ;                    ;
3                 ;ELAN-Luft-ohne Elektrode;26,3                      ;45                 ;ELAN Film 125 Luft ohne Elektrode;ELAN125                      ;                                ;200                        ;1,40582759612124E-10;0,0001274           ;2022-07-01 07:14:34Z

[FDS RESULTS]
ID                ;Frequency [Hz]          ;Tanδ                      ;εr'                ;εr''                             ;|Z| [Ω]                      ;Phase of Z [°]                  ;|Y| [S]                    ;Phase of Y [°]      ;Cp [F]              ;Rp [Ω]              ;c' [F]              ;c'' [F]              ;R [Ω]           ;X [Ω]
3                 ;3500                    ;0,00498048233940243       ;1,8289801104323    ;-0,00910920313912637             ;176850,240237368             ;-89,7146417414538               ;5,65450179008976E-06       ;89,7146417414538    ;2,5712307120026E-10 ;35509097,6285156    ;2,5712307120026E-10 ;-1,28059691516581E-12;880,78857421875 ;-176848,046875
3                 ;4000                    ;0,00514158505740821       ;1,82811445597342   ;-0,00939940597006489             ;154817,108823992             ;-89,7054114720887               ;6,45923443213812E-06       ;89,7054114720887    ;2,57001375107561E-10;30111172,6143597    ;2,57001375107561E-10;-1,3213944299864E-12 ;795,994812011718;-154815,0625
3                 ;4500                    ;0,00529293667229183       ;1,82733473861394   ;-0,00967196705056252             ;137673,819062797             ;-89,6967398993885               ;7,26354514465726E-06       ;89,6967398993885    ;2,56891760289447E-10;26011221,3789237    ;2,56891760289447E-10;-1,35971181884562E-12;728,688598632813;-137671,890625
3                 ;5000                    ;0,00544597335450276       ;1,82662201610114   ;-0,00994773482843494             ;123954,681871874             ;-89,6879717961978               ;8,06746453541503E-06       ;89,6879717961978    ;2,56791563791761E-10;22761132,2994298    ;2,56791563791761E-10;-1,39848001407102E-12;675,043884277344;-123952,84375

[PDC RESULTS]
[Polarization]
ID                ;Time [s]                ;Polarization current [A]  ;Resistance R(t) [Ω];Conductivity G(t) [S]            ;Specific resistance ρ(t) [Ωm];Specific conductivity σ(t) [S/m]

[Depolarization]
ID                ;Time [s]                ;Depolarization current [A]
